column_or_rhs,row_or_bounds,expected_value
y_1_1_1,dem_1_1,0.98144645
y_1_1_2,dem_1_2,1.0404547749999995
y_1_1_3,dem_1_3,1.0113303750000007
y_1_2_1,dem_1_1,0.9992185550000002
y_1_2_2,dem_1_2,1.0243461850000002
y_1_2_3,dem_1_3,0.9595111000000002
y_1_3_1,dem_1_1,1.015511355
y_1_3_2,dem_1_2,1.00887274
y_1_3_3,dem_1_3,1.0109730749999999
y_2_1_1,dem_2_1,0.98144645
y_2_1_2,dem_2_2,1.0404547749999995
y_2_1_3,dem_2_3,1.0113303750000007
y_2_2_1,dem_2_1,0.9992185550000002
y_2_2_2,dem_2_2,1.0243461850000002
y_2_2_3,dem_2_3,0.9595111000000002
y_2_3_1,dem_2_1,1.015511355
y_2_3_2,dem_2_2,1.00887274
y_2_3_3,dem_2_3,1.0109730749999999
